EmployeeNumber,Age,Attrition,DistanceFromHome,Gender,MaritalStatus,BT_ID,E_ID,EmployeeFinances_ID,D_ID,JR_ID,Experience_ID,Assessment_ID
42,39,Yes,5,Male,Married,BT002,E003,EF0034,D003,JR016,E0034,A0034
45,24,Yes,1,Male,Married,BT002,E003,EF0035,D002,JR002,E0035,A0035
46,43,No,2,Female,Divorced,BT002,E002,EF0036,D002,JR002,E0036,A0036
47,50,Yes,3,Male,Married,BT002,E002,EF0037,D003,JR007,E0037,A0037
49,35,No,2,Female,Married,BT002,E003,EF0038,D003,JR007,E0038,A0038
51,36,No,5,Female,Married,BT002,E004,EF0039,D002,JR002,E0039,A0039
52,33,No,1,Female,Married,BT003,E003,EF0040,D003,JR010,E0040,A0040
53,35,No,4,Male,Divorced,BT002,E002,EF0041,D002,JR003,E0041,A0041
54,27,No,2,Female,Divorced,BT002,E004,EF0042,D002,JR003,E0042,A0042
55,26,Yes,25,Male,Single,BT002,E003,EF0043,D002,JR003,E0043,A0043
56,27,No,8,Male,Single,BT003,E003,EF0044,D003,JR019,E0044,A0044
57,30,No,1,Female,Single,BT003,E002,EF0045,D002,JR012,E0045,A0045
58,41,Yes,12,Female,Married,BT002,E003,EF0046,D002,JR045,E0046,A0046
60,34,No,23,Male,Single,BT001,E004,EF0047,D003,JR010,E0047,A0047
61,37,No,19,Male,Married,BT002,E002,EF0048,D002,JR002,E0048,A0048
62,46,No,5,Male,Single,BT003,E004,EF0049,D003,JR010,E0049,A0049
63,35,No,8,Male,Married,BT002,E001,EF0050,D002,JR003,E0050,A0050
64,48,Yes,1,Male,Single,BT002,E002,EF0051,D002,JR021,E0051,A0051
65,28,Yes,5,Male,Single,BT002,E004,EF0052,D002,JR003,E0052,A0052
68,44,No,1,Female,Divorced,BT002,E005,EF0053,D003,JR010,E0053,A0053
70,35,No,11,Male,Married,BT001,E002,EF0054,D002,JR023,E0054,A0054
72,26,No,23,Female,Married,BT002,E003,EF0055,D003,JR010,E0055,A0055
73,33,No,1,Female,Single,BT003,E002,EF0056,D002,JR027,E0056,A0056
74,35,No,18,Male,Married,BT003,E005,EF0057,D003,JR019,E0057,A0057
75,35,No,23,Female,Married,BT002,E004,EF0058,D002,JR003,E0058,A0058
76,31,No,7,Male,Divorced,BT002,E004,EF0059,D002,JR012,E0059,A0059
77,37,No,1,Male,Divorced,BT002,E004,EF0060,D002,JR013,E0060,A0060
78,32,No,1,Male,Married,BT002,E003,EF0061,D002,JR013,E0061,A0061
79,38,No,29,Female,Single,BT003,E005,EF0062,D002,JR012,E0062,A0062
80,50,No,7,Female,Divorced,BT002,E002,EF0063,D002,JR045,E0063,A0063
81,59,No,25,Female,Single,BT002,E003,EF0064,D003,JR019,E0064,A0064
83,36,No,8,Female,Divorced,BT002,E003,EF0065,D002,JR023,E0065,A0065
84,55,No,8,Female,Divorced,BT002,E003,EF0066,D002,JR033,E0066,A0066
85,36,No,11,Male,Single,BT003,E003,EF0067,D002,JR013,E0067,A0067
86,45,No,7,Male,Divorced,BT002,E003,EF0068,D002,JR020,E0068,A0068
88,35,No,1,Male,Married,BT003,E003,EF0069,D002,JR002,E0069,A0069
90,36,Yes,9,Male,Married,BT002,E003,EF0070,D002,JR002,E0070,A0070
91,59,No,1,Female,Single,BT003,E001,EF0071,D003,JR010,E0071,A0071
94,29,No,2,Male,Married,BT002,E003,EF0072,D002,JR002,E0072,A0072
95,31,No,1,Male,Single,BT002,E004,EF0073,D002,JR002,E0073,A0073
96,32,No,1,Male,Married,BT002,E003,EF0074,D002,JR011,E0074,A0074
97,36,No,6,Female,Married,BT002,E003,EF0075,D002,JR003,E0075,A0075
98,31,No,8,Female,Single,BT002,E004,EF0076,D002,JR013,E0076,A0076
100,35,No,1,Male,Single,BT002,E004,EF0077,D003,JR010,E0077,A0077
101,45,No,6,Male,Married,BT002,E004,EF0078,D002,JR027,E0078,A0078
102,37,No,7,Male,Single,BT002,E004,EF0079,D002,JR027,E0079,A0079
103,46,No,5,Male,Divorced,BT002,E002,EF0080,D001,JR017,E0080,A0080
104,30,No,1,Male,Married,BT002,E001,EF0081,D002,JR012,E0081,A0081
105,35,No,1,Male,Single,BT002,E003,EF0082,D002,JR002,E0082,A0082
106,55,No,1,Male,Married,BT002,E002,EF0083,D003,JR019,E0083,A0083
107,38,No,6,Female,Divorced,BT001,E003,EF0084,D002,JR011,E0084,A0084
110,34,No,1,Male,Married,BT002,E002,EF0085,D002,JR013,E0085,A0085
112,56,No,7,Male,Single,BT002,E003,EF0086,D002,JR022,E0086,A0086
113,23,No,2,Male,Divorced,BT002,E001,EF0087,D003,JR007,E0087,A0087
116,51,No,9,Male,Married,BT002,E004,EF0088,D002,JR003,E0088,A0088
117,30,No,2,Male,Married,BT002,E003,EF0089,D002,JR014,E0089,A0089
118,46,Yes,9,Male,Single,BT002,E002,EF0090,D003,JR019,E0090,A0090
119,40,No,1,Male,Married,BT003,E004,EF0091,D002,JR032,E0091,A0091
120,51,No,21,Male,Single,BT002,E004,EF0092,D003,JR010,E0092,A0092
121,30,No,4,Female,Divorced,BT002,E002,EF0093,D003,JR010,E0093,A0093
124,46,No,1,Male,Married,BT003,E003,EF0094,D002,JR023,E0094,A0094
125,32,No,6,Male,Single,BT002,E004,EF0095,D003,JR010,E0095,A0095
126,54,No,2,Female,Married,BT002,E004,EF0096,D002,JR027,E0096,A0096
128,24,No,3,Female,Married,BT002,E002,EF0097,D003,JR010,E0097,A0097
129,28,No,4,Male,Married,BT001,E003,EF0098,D003,JR010,E0098,A0098
131,58,No,10,Male,Single,BT002,E004,EF0099,D003,JR028,E0099,A0099
132,44,No,23,Male,Married,BT001,E003,EF0100,D002,JR012,E0100,A0100
133,37,Yes,6,Male,Divorced,BT002,E004,EF0101,D001,JR008,E0101,A0101
134,32,No,1,Male,Single,BT002,E001,EF0102,D002,JR002,E0102,A0102
137,20,Yes,6,Female,Single,BT003,E003,EF0103,D002,JR003,E0103,A0103
138,34,No,6,Female,Single,BT002,E004,EF0104,D002,JR011,E0104,A0104
139,37,No,2,Male,Divorced,BT001,E002,EF0105,D002,JR014,E0105,A0105
140,59,No,2,Female,Married,BT001,E004,EF0106,D001,JR042,E0106,A0106
141,50,No,1,Female,Married,BT003,E003,EF0107,D002,JR045,E0107,A0107
142,25,Yes,5,Male,Single,BT002,E003,EF0108,D003,JR010,E0108,A0108
143,25,No,7,Male,Married,BT002,E001,EF0109,D002,JR002,E0109,A0109
144,22,No,15,Female,Single,BT002,E003,EF0110,D002,JR003,E0110,A0110
145,51,No,1,Female,Single,BT003,E004,EF0111,D002,JR023,E0111,A0111
147,34,Yes,7,Male,Single,BT003,E003,EF0112,D002,JR012,E0112,A0112
148,54,No,26,Female,Single,BT001,E003,EF0113,D001,JR033,E0113,A0113
150,24,No,18,Male,Married,BT002,E001,EF0114,D002,JR003,E0114,A0114
151,34,No,6,Female,Divorced,BT002,E004,EF0115,D002,JR011,E0115,A0115
152,37,No,3,Male,Single,BT002,E003,EF0116,D003,JR019,E0116,A0116
153,34,No,5,Female,Single,BT002,E003,EF0117,D002,JR024,E0117,A0117
154,36,No,11,Female,Married,BT003,E002,EF0118,D003,JR019,E0118,A0118
155,36,No,3,Female,Divorced,BT002,E002,EF0119,D002,JR003,E0119,A0119
158,43,No,26,Male,Married,BT003,E002,EF0120,D003,JR033,E0120,A0120
159,30,No,23,Male,Divorced,BT003,E003,EF0121,D002,JR002,E0121,A0121
160,33,No,22,Male,Married,BT001,E002,EF0122,D003,JR010,E0122,A0122
161,56,Yes,14,Female,Married,BT002,E004,EF0123,D002,JR002,E0123,A0123
162,51,No,6,Male,Single,BT002,E003,EF0124,D002,JR045,E0124,A0124
163,31,Yes,6,Male,Married,BT002,E004,EF0125,D003,JR010,E0125,A0125
164,26,No,6,Female,Married,BT002,E003,EF0126,D002,JR002,E0126,A0126
165,58,Yes,23,Female,Married,BT002,E004,EF0127,D002,JR023,E0127,A0127
167,19,Yes,22,Male,Single,BT002,E001,EF0128,D003,JR007,E0128,A0128
169,22,No,2,Male,Married,BT002,E001,EF0129,D002,JR003,E0129,A0129
170,49,No,20,Female,Married,BT002,E004,EF0130,D002,JR013,E0130,A0130
171,43,No,28,Female,Single,BT003,E003,EF0131,D002,JR002,E0131,A0131
174,50,No,12,Female,Single,BT003,E003,EF0132,D003,JR019,E0132,A0132
175,31,Yes,20,Female,Married,BT002,E003,EF0133,D003,JR010,E0133,A0133
176,41,No,9,Male,Divorced,BT002,E001,EF0134,D003,JR019,E0134,A0134
177,26,No,25,Female,Married,BT002,E001,EF0135,D001,JR008,E0135,A0135
178,36,No,6,Male,Divorced,BT002,E002,EF0136,D002,JR013,E0136,A0136
179,51,Yes,8,Male,Single,BT003,E004,EF0137,D002,JR022,E0137,A0137
182,39,No,4,Female,Married,BT002,E004,EF0138,D003,JR010,E0138,A0138
183,25,No,28,Male,Married,BT002,E003,EF0139,D003,JR010,E0139,A0139
184,30,No,9,Male,Married,BT002,E003,EF0140,D001,JR017,E0140,A0140
190,32,Yes,9,Female,Single,BT002,E003,EF0141,D002,JR003,E0141,A0141
192,45,No,29,Male,Single,BT002,E003,EF0142,D002,JR002,E0142,A0142
193,38,No,3,Female,Single,BT002,E005,EF0143,D002,JR011,E0143,A0143
194,30,No,18,Female,Single,BT002,E003,EF0144,D002,JR002,E0144,A0144
195,32,No,9,Male,Divorced,BT003,E002,EF0145,D003,JR010,E0145,A0145
197,30,No,5,Female,Divorced,BT002,E003,EF0146,D002,JR002,E0146,A0146
198,30,No,2,Male,Single,BT002,E001,EF0147,D002,JR003,E0147,A0147
199,41,No,10,Male,Divorced,BT003,E003,EF0148,D002,JR033,E0148,A0148
200,41,No,9,Male,Married,BT002,E004,EF0149,D002,JR003,E0149,A0149
201,19,No,3,Female,Single,BT002,E001,EF0150,D002,JR003,E0150,A0150
202,40,No,26,Female,Divorced,BT003,E003,EF0151,D002,JR011,E0151,A0151
204,35,No,1,Male,Married,BT002,E005,EF0152,D003,JR019,E0152,A0152
205,53,No,6,Male,Married,BT002,E002,EF0153,D003,JR016,E0153,A0153
206,45,No,9,Male,Divorced,BT002,E003,EF0154,D002,JR012,E0154,A0154
207,32,No,8,Female,Single,BT003,E003,EF0155,D003,JR019,E0155,A0155
208,29,No,1,Male,Married,BT001,E001,EF0156,D002,JR013,E0156,A0156
211,51,No,7,Male,Married,BT002,E004,EF0157,D002,JR013,E0157,A0157
214,58,No,9,Female,Married,BT002,E003,EF0158,D002,JR002,E0158,A0158
215,40,No,4,Male,Married,BT002,E004,EF0159,D003,JR019,E0159,A0159
216,34,No,2,Female,Married,BT003,E004,EF0160,D003,JR007,E0160,A0160
217,22,No,19,Male,Married,BT002,E001,EF0161,D002,JR002,E0161,A0161
218,27,No,9,Male,Divorced,BT001,E003,EF0162,D002,JR002,E0162,A0162
221,28,No,21,Male,Married,BT002,E003,EF0163,D002,JR002,E0163,A0163
223,57,No,24,Male,Divorced,BT002,E002,EF0164,D002,JR023,E0164,A0164
224,27,No,3,Male,Divorced,BT001,E003,EF0165,D002,JR002,E0165,A0165
226,50,No,11,Female,Single,BT002,E003,EF0166,D002,JR042,E0166,A0166
227,41,No,14,Male,Divorced,BT002,E003,EF0167,D002,JR002,E0167,A0167
228,30,No,5,Female,Married,BT002,E003,EF0168,D003,JR019,E0168,A0168
230,38,No,1,Female,Single,BT002,E004,EF0169,D003,JR010,E0169,A0169
231,32,No,6,Male,Single,BT002,E005,EF0170,D002,JR002,E0170,A0170
233,27,No,17,Male,Married,BT002,E003,EF0171,D002,JR002,E0171,A0171
235,19,Yes,1,Female,Single,BT003,E001,EF0172,D003,JR007,E0172,A0172
238,36,No,3,Male,Single,BT003,E002,EF0173,D002,JR003,E0173,A0173
239,30,No,9,Male,Divorced,BT001,E003,EF0174,D002,JR012,E0174,A0174
240,45,No,4,Female,Divorced,BT002,E002,EF0175,D003,JR010,E0175,A0175
241,56,No,8,Female,Divorced,BT002,E003,EF0176,D002,JR002,E0176,A0176
242,33,No,2,Male,Single,BT002,E003,EF0177,D002,JR002,E0177,A0177
243,19,Yes,2,Male,Single,BT002,E003,EF0178,D002,JR003,E0178,A0178
244,46,No,1,Female,Divorced,BT002,E002,EF0179,D003,JR019,E0179,A0179
245,38,No,9,Female,Single,BT002,E002,EF0180,D002,JR003,E0180,A0180
246,31,No,12,Female,Married,BT002,E001,EF0181,D002,JR002,E0181,A0181
247,34,No,27,Female,Single,BT002,E002,EF0182,D002,JR002,E0182,A0182
248,41,Yes,20,Female,Single,BT002,E002,EF0183,D003,JR007,E0183,A0183
249,50,No,1,Male,Married,BT002,E003,EF0184,D002,JR003,E0184,A0184
250,53,No,13,Female,Divorced,BT002,E002,EF0185,D002,JR013,E0185,A0185
252,33,No,14,Female,Married,BT002,E003,EF0186,D002,JR002,E0186,A0186
253,40,No,4,Female,Married,BT002,E001,EF0187,D002,JR042,E0187,A0187
254,55,No,14,Male,Single,BT002,E004,EF0188,D002,JR045,E0188,A0188
256,34,No,2,Male,Married,BT003,E001,EF0189,D002,JR013,E0189,A0189
258,51,No,3,Female,Single,BT002,E003,EF0190,D002,JR032,E0190,A0190
259,52,No,1,Male,Married,BT002,E004,EF0191,D002,JR042,E0191,A0191
260,27,No,9,Female,Single,BT002,E003,EF0192,D002,JR002,E0192,A0192
261,35,Yes,23,Male,Married,BT002,E002,EF0193,D002,JR013,E0193,A0193
262,43,No,7,Male,Divorced,BT001,E003,EF0194,D002,JR002,E0194,A0194
264,45,No,2,Male,Married,BT001,E002,EF0195,D002,JR033,E0195,A0195
267,37,No,21,Male,Married,BT002,E003,EF0196,D002,JR002,E0196,A0196
269,35,No,2,Female,Single,BT003,E003,EF0197,D002,JR012,E0197,A0197
270,42,No,21,Female,Divorced,BT001,E002,EF0198,D002,JR013,E0198,A0198
271,38,No,2,Male,Married,BT002,E004,EF0199,D002,JR013,E0199,A0199
273,38,No,29,Male,Married,BT002,E003,EF0200,D002,JR013,E0200,A0200
274,27,No,1,Male,Married,BT003,E001,EF0201,D002,JR013,E0201,A0201
275,49,No,18,Male,Divorced,BT001,E004,EF0202,D002,JR013,E0202,A0202
277,34,No,10,Male,Divorced,BT003,E004,EF0203,D002,JR002,E0203,A0203
281,40,No,19,Male,Married,BT002,E002,EF0204,D002,JR012,E0204,A0204
282,38,Yes,29,Male,Married,BT002,E001,EF0205,D002,JR014,E0205,A0205
283,29,Yes,27,Female,Married,BT002,E003,EF0206,D003,JR019,E0206,A0206
284,22,No,5,Male,Divorced,BT002,E003,EF0207,D002,JR002,E0207,A0207
286,36,No,18,Female,Single,BT003,E001,EF0208,D002,JR003,E0208,A0208
287,40,No,9,Male,Married,BT001,E005,EF0209,D002,JR014,E0209,A0209
288,46,No,1,Male,Divorced,BT002,E004,EF0210,D002,JR023,E0210,A0210
291,32,Yes,4,Male,Married,BT002,E004,EF0211,D003,JR019,E0211,A0211
292,30,No,1,Male,Single,BT001,E001,EF0212,D002,JR022,E0212,A0212
293,27,No,20,Female,Single,BT003,E003,EF0213,D003,JR010,E0213,A0213
296,51,No,8,Male,Married,BT002,E004,EF0214,D002,JR027,E0214,A0214
297,30,Yes,3,Female,Single,BT002,E003,EF0215,D002,JR002,E0215,A0215
298,41,No,6,Female,Single,BT002,E003,EF0216,D003,JR024,E0216,A0216
299,30,Yes,26,Female,Single,BT003,E004,EF0217,D003,JR010,E0217,A0217
300,29,Yes,1,Male,Single,BT002,E003,EF0218,D002,JR002,E0218,A0218
302,45,No,6,Female,Single,BT001,E003,EF0219,D003,JR019,E0219,A0219
303,54,No,3,Female,Married,BT002,E003,EF0220,D003,JR010,E0220,A0220
304,36,No,5,Male,Single,BT002,E002,EF0221,D002,JR012,E0221,A0221
305,33,No,4,Female,Married,BT002,E004,EF0222,D002,JR002,E0222,A0222
306,37,No,11,Male,Divorced,BT003,E003,EF0223,D002,JR027,E0223,A0223
307,38,No,3,Male,Divorced,BT002,E003,EF0224,D003,JR019,E0224,A0224
308,31,No,1,Male,Married,BT001,E004,EF0225,D002,JR013,E0225,A0225
309,59,No,3,Male,Married,BT002,E003,EF0226,D002,JR002,E0226,A0226
311,37,No,4,Male,Divorced,BT003,E004,EF0227,D003,JR007,E0227,A0227
312,29,No,1,Female,Married,BT003,E001,EF0228,D003,JR019,E0228,A0228
314,35,No,1,Female,Single,BT003,E003,EF0229,D003,JR019,E0229,A0229
315,29,Yes,18,Male,Single,BT002,E001,EF0230,D002,JR002,E0230,A0230
316,52,No,2,Female,Single,BT002,E003,EF0231,D002,JR003,E0231,A0231
319,42,No,4,Male,Married,BT002,E002,EF0232,D002,JR042,E0232,A0232
321,59,No,6,Male,Married,BT002,E002,EF0233,D001,JR008,E0233,A0233
323,50,No,1,Female,Divorced,BT002,E004,EF0234,D003,JR042,E0234,A0234
325,33,Yes,14,Male,Married,BT002,E003,EF0235,D002,JR003,E0235,A0235
327,43,No,16,Female,Married,BT002,E003,EF0236,D003,JR033,E0236,A0236
328,33,Yes,2,Female,Married,BT002,E002,EF0237,D002,JR003,E0237,A0237
329,52,No,2,Male,Single,BT001,E004,EF0238,D003,JR042,E0238,A0238
330,32,No,4,Female,Married,BT002,E002,EF0239,D003,JR007,E0239,A0239
331,32,Yes,1,Male,Single,BT002,E003,EF0240,D002,JR003,E0240,A0240
332,39,No,1,Female,Divorced,BT002,E004,EF0241,D002,JR003,E0241,A0241
333,32,No,26,Male,Married,BT001,E004,EF0242,D003,JR010,E0242,A0242
334,41,No,19,Male,Divorced,BT002,E002,EF0243,D002,JR011,E0243,A0243
335,40,No,24,Male,Divorced,BT002,E002,EF0244,D002,JR011,E0244,A0244
336,45,No,1,Male,Married,BT002,E003,EF0245,D002,JR042,E0245,A0245
337,31,No,3,Male,Divorced,BT003,E004,EF0246,D002,JR027,E0246,A0246
338,33,No,5,Female,Married,BT002,E004,EF0247,D002,JR002,E0247,A0247
339,34,No,2,Male,Married,BT002,E004,EF0248,D002,JR013,E0248,A0248
340,37,No,1,Female,Married,BT002,E002,EF0249,D002,JR002,E0249,A0249
341,45,No,7,Male,Married,BT003,E004,EF0250,D002,JR013,E0250,A0250
342,37,Yes,10,Male,Divorced,BT003,E003,EF0251,D002,JR022,E0251,A0251
343,39,No,2,Female,Single,BT003,E004,EF0252,D002,JR023,E0252,A0252
346,29,No,15,Male,Single,BT002,E003,EF0253,D002,JR002,E0253,A0253
347,42,No,17,Female,Single,BT002,E002,EF0254,D002,JR011,E0254,A0254
349,29,No,20,Male,Divorced,BT002,E002,EF0255,D003,JR010,E0255,A0255
350,25,No,1,Female,Married,BT002,E003,EF0256,D002,JR013,E0256,A0256
351,42,No,2,Female,Divorced,BT002,E003,EF0257,D002,JR003,E0257,A0257
352,40,No,2,Male,Divorced,BT002,E002,EF0258,D002,JR045,E0258,A0258
353,51,No,1,Male,Married,BT002,E003,EF0259,D002,JR002,E0259,A0259
355,31,Yes,29,Male,Single,BT003,E002,EF0260,D002,JR003,E0260,A0260
359,32,No,7,Male,Married,BT003,E003,EF0261,D002,JR003,E0261,A0261
361,38,No,2,Male,Married,BT001,E002,EF0262,D003,JR010,E0262,A0262
362,32,No,2,Male,Single,BT002,E001,EF0263,D002,JR012,E0263,A0263
363,46,No,2,Female,Married,BT002,E003,EF0264,D003,JR033,E0264,A0264
364,28,Yes,2,Male,Single,BT002,E004,EF0265,D002,JR003,E0265,A0265
366,29,No,2,Male,Married,BT002,E003,EF0266,D003,JR010,E0266,A0266
367,31,No,23,Male,Married,BT002,E003,EF0267,D002,JR014,E0267,A0267
369,25,No,5,Male,Divorced,BT001,E002,EF0268,D002,JR014,E0268,A0268
372,45,No,20,Male,Married,BT002,E002,EF0269,D002,JR032,E0269,A0269
373,36,No,6,Male,Married,BT002,E003,EF0270,D002,JR003,E0270,A0270
374,55,No,1,Male,Single,BT002,E003,EF0271,D002,JR042,E0271,A0271
376,47,Yes,29,Male,Married,BT001,E004,EF0272,D002,JR024,E0272,A0272
377,28,No,9,Male,Married,BT002,E003,EF0273,D002,JR002,E0273,A0273
378,37,No,6,Male,Married,BT002,E004,EF0274,D003,JR010,E0274,A0274
379,21,No,3,Male,Single,BT002,E002,EF0275,D002,JR002,E0275,A0275
380,37,No,1,Female,Divorced,BT001,E004,EF0276,D002,JR027,E0276,A0276
381,35,No,22,Female,Divorced,BT002,E003,EF0277,D002,JR024,E0277,A0277
382,38,No,7,Female,Divorced,BT002,E002,EF0278,D003,JR010,E0278,A0278
384,26,No,1,Female,Divorced,BT003,E003,EF0279,D002,JR013,E0279,A0279
385,50,No,4,Male,Divorced,BT002,E001,EF0280,D002,JR045,E0280,A0280
386,53,No,3,Male,Married,BT002,E004,EF0281,D002,JR036,E0281,A0281
387,42,No,1,Male,Married,BT002,E001,EF0282,D003,JR010,E0282,A0282
388,29,No,2,Male,Single,BT003,E002,EF0283,D003,JR010,E0283,A0283
389,55,No,20,Male,Married,BT002,E002,EF0284,D002,JR012,E0284,A0284
390,26,No,11,Male,Married,BT003,E002,EF0285,D002,JR014,E0285,A0285
391,37,No,1,Female,Single,BT002,E003,EF0286,D002,JR002,E0286,A0286
392,44,Yes,24,Male,Divorced,BT003,E003,EF0287,D002,JR003,E0287,A0287
393,38,No,23,Male,Divorced,BT002,E004,EF0288,D002,JR014,E0288,A0288
394,26,Yes,16,Male,Divorced,BT002,E004,EF0289,D002,JR003,E0289,A0289
395,28,No,8,Female,Single,BT002,E002,EF0290,D002,JR002,E0290,A0290
396,49,No,10,Female,Single,BT003,E004,EF0291,D002,JR045,E0291,A0291
397,36,No,3,Male,Single,BT002,E003,EF0292,D002,JR011,E0292,A0292
399,31,No,5,Female,Divorced,BT003,E003,EF0293,D003,JR007,E0293,A0293
401,26,Yes,4,Male,Single,BT002,E004,EF0294,D003,JR010,E0294,A0294
403,37,No,9,Male,Married,BT003,E003,EF0295,D002,JR002,E0295,A0295
404,42,No,26,Female,Married,BT003,E003,EF0296,D003,JR028,E0296,A0296
405,18,Yes,3,Male,Single,BT002,E003,EF0297,D002,JR003,E0297,A0297
406,35,No,16,Male,Married,BT002,E003,EF0298,D003,JR019,E0298,A0298
407,36,No,18,Male,Married,BT003,E004,EF0299,D002,JR003,E0299,A0299
408,51,No,2,Male,Divorced,BT002,E003,EF0300,D002,JR013,E0300,A0300
410,41,No,2,Male,Single,BT002,E004,EF0301,D003,JR033,E0301,A0301
411,18,No,10,Female,Single,BT002,E003,EF0302,D003,JR007,E0302,A0302
412,28,No,16,Male,Single,BT002,E002,EF0303,D002,JR014,E0303,A0303
416,31,No,7,Male,Married,BT002,E003,EF0304,D003,JR010,E0304,A0304
417,39,No,1,Male,Divorced,BT002,E003,EF0305,D002,JR023,E0305,A0305
419,36,No,24,Female,Married,BT001,E004,EF0306,D002,JR012,E0306,A0306
420,32,No,7,Male,Married,BT002,E003,EF0307,D003,JR010,E0307,A0307
421,38,No,25,Female,Married,BT002,E002,EF0308,D002,JR027,E0308,A0308
422,58,No,1,Male,Divorced,BT001,E004,EF0309,D002,JR014,E0309,A0309
423,31,No,5,Male,Married,BT002,E004,EF0310,D002,JR002,E0310,A0310
424,31,No,2,Male,Married,BT002,E003,EF0311,D001,JR017,E0311,A0311
425,45,No,7,Male,Divorced,BT003,E003,EF0312,D002,JR021,E0312,A0312
426,31,No,2,Male,Divorced,BT002,E004,EF0313,D002,JR002,E0313,A0313
428,33,No,5,Female,Married,BT003,E004,EF0314,D002,JR024,E0314,A0314
429,39,No,10,Male,Married,BT002,E001,EF0315,D002,JR033,E0315,A0315
430,43,No,10,Female,Single,BT003,E004,EF0316,D002,JR003,E0316,A0316
431,49,No,1,Female,Single,BT002,E002,EF0317,D002,JR032,E0317,A0317
433,52,Yes,8,Male,Married,BT002,E004,EF0318,D002,JR011,E0318,A0318
434,27,No,5,Female,Single,BT002,E003,EF0319,D002,JR002,E0319,A0319
436,32,No,8,Female,Married,BT002,E002,EF0320,D003,JR010,E0320,A0320
437,27,No,2,Male,Single,BT002,E003,EF0321,D003,JR010,E0321,A0321
438,31,No,7,Male,Divorced,BT002,E003,EF0322,D003,JR010,E0322,A0322
439,32,No,2,Female,Single,BT002,E004,EF0323,D002,JR011,E0323,A0323
440,28,Yes,2,Male,Married,BT002,E004,EF0324,D002,JR002,E0324,A0324
441,30,No,28,Female,Married,BT002,E002,EF0325,D002,JR011,E0325,A0325
442,31,No,7,Female,Married,BT003,E002,EF0326,D002,JR022,E0326,A0326
444,39,No,7,Male,Married,BT003,E002,EF0327,D002,JR042,E0327,A0327
445,39,Yes,3,Female,Married,BT002,E002,EF0328,D003,JR010,E0328,A0328
446,33,No,10,Male,Single,BT003,E003,EF0329,D003,JR010,E0329,A0329
447,47,No,5,Male,Married,BT002,E005,EF0330,D002,JR045,E0330,A0330
